,Categories
0,headphones
1,cables
2,security_and_surveillance
3,streaming_media
4,television_accessories
5,monitor_risers
6,gaming_accessories
7,video_games
8,video_cameras
9,3d_printers_and_supplies
10,drones
11,mice
12,computer_accessories
13,keyboards
14,monitor_mounts
15,monitors
16,office_electronics
17,camera_accessories
18,range_extenders
19,ink_and_toner
20,car_and_vehicle_electronics
21,video_projectors
22,tablet_accessories
23,car_subwoofers_and_amplifiers
24,tablets
25,laptop_accessories
26,tripods_and_monopods
27,televisions
28,batteries
29,desktops
30,laptops
31,home_audio
32,gps_and_navigation
33,radar_detectors
34,mobile_phone_accessories
35,headsets
36,binoculars_and_scopes
37,modems
38,cases_and_screen_protectors
39,tv_mounts_and_stands
40,ebook_readers_and_accessories
41,computer_data_storage
42,portable_audio_and_speakers
43,power_management
44,computer_components
45,video_cards
46,printers_and_scanners
47,memory_cards_and_flash_drives
48,unlocked_cell_phones
49,wearable_technology
50,motherboards
51,telescopes
52,routers_and_networking
53,car_dash_cams
54,microphones_and_accessories
55,two_way_radios
56,blu-ray_and_dvd_players
57,standing_desks
58,cameras
59,switches
60,calculators
61,camera_lenses
62,game_consoles
